OPENET_ID,Date,ACRES,CDL,IRR STATUS FLAG,IRR EFFICIENCY,ITYPE,srctype,ET VOLUME (acft),ETC VOLUME (acft),ETO VOLUME (acft),PPT VOLUME (acft),PRZ VOLUME (acft),NIWR VOLUME (acft),CU VOLUME (acft),AW VOLUME (acft),ET RATE (inches),ETC RATE (inches),ETO RATE (inches),PPT RATE (inches),PRZ RATE (inches),NIWR RATE (inches),CU RATE (inches),AW RATE (inches),timestep
ORx_62521,1985-09-01,12.227,59,1,0.0,0,0,1.951,1.773,3.005,2.034,1.951,-0.293,0.0,0.0,1.915,1.74,2.949,1.996,1.915,-0.287,0.0,0.0,monthly
ORx_62521,1985-10-01,12.227,59,1,0.0,0,0,1.051,0.527,1.536,3.061,1.051,-1.172,0.0,0.0,1.031,0.517,1.507,3.004,1.031,-1.15,0.0,0.0,monthly
ORx_62521,1985-11-01,12.227,59,0,0.0,0,0,0.688,0.279,0.711,4.134,0.688,0.0,0.0,0.0,0.676,0.274,0.698,4.057,0.676,0.0,0.0,0.0,monthly
ORx_62521,1985-12-01,12.227,59,0,0.0,0,0,0.162,0.162,0.499,2.382,0.162,0.131,0.0,0.0,0.159,0.159,0.49,2.337,0.159,0.128,0.0,0.0,monthly
ORx_62521,1986-01-01,12.227,59,0,0.0,0,0,0.266,0.314,0.66,6.359,0.266,-0.853,0.0,0.0,0.261,0.309,0.648,6.241,0.261,-0.838,0.0,0.0,monthly
ORx_62521,1986-02-01,12.227,59,0,0.0,0,0,0.457,0.921,0.946,6.617,0.457,0.77,0.0,0.0,0.448,0.904,0.929,6.494,0.448,0.756,0.0,0.0,monthly
ORx_62521,1986-03-01,12.227,59,0,0.0,0,0,1.884,1.933,2.023,2.925,1.884,-0.502,0.0,0.0,1.849,1.897,1.985,2.87,1.849,-0.492,0.0,0.0,monthly
ORx_62521,1986-04-01,12.227,59,0,0.0,0,0,2.801,2.834,2.849,1.503,2.801,1.31,0.0,0.0,2.749,2.782,2.796,1.475,2.749,1.285,0.0,0.0,monthly
ORx_62521,1986-05-01,12.227,59,0,0.0,0,0,2.917,3.883,3.898,2.368,2.917,1.468,0.0,0.0,2.863,3.811,3.825,2.324,2.863,1.441,0.0,0.0,monthly
ORx_62521,1986-06-01,12.227,59,0,0.0,0,0,1.8,4.639,5.285,0.393,1.8,4.226,0.0,0.0,1.767,4.553,5.187,0.386,1.767,4.148,0.0,0.0,monthly
ORx_62521,1986-07-01,12.227,59,0,0.0,0,0,2.319,2.19,5.109,1.21,1.32,0.938,0.0,0.0,2.276,2.149,5.014,1.187,1.296,0.921,0.0,0.0,monthly
ORx_62521,1986-08-01,12.227,59,0,0.0,0,0,1.622,1.586,5.76,0.051,0.052,1.534,0.0,0.0,1.592,1.557,5.653,0.05,0.051,1.506,0.0,0.0,monthly
ORx_62521,1986-09-01,12.227,59,0,0.0,0,0,1.364,1.886,2.77,3.311,1.364,-1.405,0.0,0.0,1.339,1.851,2.719,3.249,1.339,-1.379,0.0,0.0,monthly
ORx_62521,1986-10-01,12.227,59,0,0.0,0,0,1.239,1.468,1.734,2.443,1.239,-0.02,0.0,0.0,1.216,1.441,1.702,2.397,1.216,-0.019,0.0,0.0,monthly
ORx_62521,1986-11-01,12.227,59,0,0.0,0,0,0.566,0.45,0.656,6.433,0.566,0.809,0.0,0.0,0.556,0.442,0.644,6.314,0.556,0.794,0.0,0.0,monthly
ORx_62521,1986-12-01,12.227,59,0,0.0,0,0,0.394,0.176,0.435,4.407,0.394,-0.007,0.0,0.0,0.387,0.173,0.427,4.325,0.387,-0.007,0.0,0.0,monthly
ORx_62521,1987-01-01,12.227,59,0,0.0,0,0,0.532,0.227,0.566,7.32,0.532,0.0,0.0,0.0,0.522,0.222,0.556,7.184,0.522,0.0,0.0,0.0,monthly
ORx_62521,1987-02-01,12.227,59,0,0.0,0,0,0.883,0.787,0.988,4.431,0.883,-0.161,0.0,0.0,0.867,0.772,0.97,4.348,0.867,-0.158,0.0,0.0,monthly
ORx_62521,1987-03-01,12.227,59,0,0.0,0,0,1.871,1.915,2.011,6.056,1.871,0.492,0.0,0.0,1.836,1.88,1.973,5.944,1.836,0.483,0.0,0.0,monthly
ORx_62521,1987-04-01,12.227,59,0,0.0,0,0,3.428,3.096,3.204,1.809,3.428,1.239,0.0,0.0,3.365,3.039,3.145,1.776,3.365,1.216,0.0,0.0,monthly
ORx_62521,1987-05-01,12.227,59,0,0.0,0,0,3.245,4.637,4.655,1.862,3.245,2.712,0.0,0.0,3.185,4.551,4.568,1.828,3.185,2.661,0.0,0.0,monthly
ORx_62521,1987-06-01,12.227,59,0,0.0,0,0,2.704,5.84,5.962,0.339,0.491,5.487,0.0,0.0,2.654,5.732,5.851,0.332,0.482,5.385,0.0,0.0,monthly
ORx_62521,1987-07-01,12.227,59,0,0.0,0,0,1.809,3.813,5.171,1.404,1.424,2.389,0.0,0.0,1.775,3.742,5.075,1.378,1.398,2.344,0.0,0.0,monthly
ORx_62521,1987-08-01,12.227,59,0,0.0,0,0,3.487,1.446,5.705,0.247,0.241,1.206,0.0,0.0,3.422,1.419,5.599,0.242,0.236,1.183,0.0,0.0,monthly
ORx_62521,1987-09-01,12.227,59,0,0.0,0,0,1.253,1.048,3.648,0.264,0.269,0.779,0.0,0.0,1.23,1.028,3.581,0.259,0.264,0.765,0.0,0.0,monthly
ORx_62521,1987-10-01,12.227,59,0,0.0,0,0,0.417,1.633,2.369,0.063,0.068,1.565,0.0,0.0,0.409,1.603,2.325,0.062,0.067,1.536,0.0,0.0,monthly
ORx_62521,1987-11-01,12.227,59,0,0.0,0,0,0.145,0.59,0.634,2.402,0.145,-1.063,0.0,0.0,0.143,0.579,0.622,2.358,0.143,-1.043,0.0,0.0,monthly
ORx_62521,1987-12-01,12.227,59,0,0.0,0,0,0.093,0.154,0.39,9.831,0.093,0.0,0.0,0.0,0.091,0.151,0.383,9.648,0.091,0.0,0.0,0.0,monthly
ORx_62521,1988-01-01,12.227,59,0,0.0,0,0,0.128,0.206,0.521,6.774,0.128,0.007,0.0,0.0,0.125,0.202,0.512,6.648,0.125,0.006,0.0,0.0,monthly
ORx_62521,1988-02-01,12.227,59,0,0.0,0,0,0.274,0.534,1.093,1.374,0.274,0.137,0.0,0.0,0.269,0.524,1.073,1.349,0.269,0.135,0.0,0.0,monthly
ORx_62521,1988-03-01,12.227,59,0,0.0,0,0,0.505,1.72,1.965,3.621,0.505,-0.144,0.0,0.0,0.495,1.688,1.928,3.553,0.495,-0.141,0.0,0.0,monthly
ORx_62521,1988-04-01,12.227,59,0,0.0,0,0,3.042,2.761,2.797,3.573,3.042,-0.238,0.0,0.0,2.985,2.71,2.745,3.507,2.985,-0.233,0.0,0.0,monthly
ORx_62521,1988-05-01,12.227,59,0,0.0,0,0,3.566,3.763,3.788,2.88,3.566,1.053,0.0,0.0,3.499,3.693,3.718,2.826,3.499,1.034,0.0,0.0,monthly
ORx_62521,1988-06-01,12.227,59,0,0.0,0,0,2.528,4.774,4.838,2.448,2.528,2.314,0.0,0.0,2.482,4.685,4.748,2.403,2.482,2.271,0.0,0.0,monthly
ORx_62521,1988-07-01,12.227,59,0,0.0,0,0,4.42,4.464,5.92,0.324,4.42,4.111,0.0,0.0,4.338,4.381,5.81,0.318,4.338,4.034,0.0,0.0,monthly
ORx_62521,1988-08-01,12.227,59,0,0.0,0,0,2.301,2.103,5.228,0.135,0.604,1.967,0.0,0.0,2.259,2.064,5.131,0.133,0.593,1.93,0.0,0.0,monthly
ORx_62521,1988-09-01,12.227,59,0,0.0,0,0,2.064,1.588,3.645,1.263,1.276,0.312,0.0,0.0,2.025,1.559,3.578,1.239,1.252,0.307,0.0,0.0,monthly
ORx_62521,1988-10-01,12.227,59,0,0.0,0,0,1.195,0.67,1.54,0.14,0.152,0.517,0.0,0.0,1.172,0.657,1.511,0.138,0.15,0.508,0.0,0.0,monthly
ORx_62521,1988-11-01,12.227,59,0,0.0,0,0,0.04,0.48,0.499,8.787,0.04,-2.699,0.0,0.0,0.039,0.471,0.49,8.624,0.039,-2.649,0.0,0.0,monthly
ORx_62521,1988-12-01,12.227,59,0,0.0,0,0,0.085,0.273,0.428,3.153,0.085,0.0,0.0,0.0,0.083,0.268,0.42,3.095,0.083,0.0,0.0,0.0,monthly
ORx_62521,1989-01-01,12.227,59,0,0.0,0,0,0.158,0.2,0.5,4.315,0.158,0.0,0.0,0.0,0.155,0.197,0.491,4.235,0.155,0.0,0.0,0.0,monthly
ORx_62521,1989-02-01,12.227,59,0,0.0,0,0,0.448,0.391,1.037,2.746,0.448,-0.0,0.0,0.0,0.44,0.384,1.018,2.695,0.44,-0.0,0.0,0.0,monthly
ORx_62521,1989-03-01,12.227,59,0,0.0,0,0,0.83,1.184,1.511,6.864,0.83,-0.802,0.0,0.0,0.814,1.162,1.483,6.737,0.814,-0.787,0.0,0.0,monthly
ORx_62521,1989-04-01,12.227,59,0,0.0,0,0,3.186,2.917,3.602,1.32,3.186,2.523,0.0,0.0,3.127,2.863,3.535,1.296,3.127,2.476,0.0,0.0,monthly
ORx_62521,1989-05-01,12.227,59,0,0.0,0,0,4.213,3.551,4.059,2.11,4.213,1.372,0.0,0.0,4.135,3.485,3.983,2.071,4.135,1.347,0.0,0.0,monthly
ORx_62521,1989-06-01,12.227,59,0,0.0,0,0,2.839,5.17,5.225,0.956,2.25,4.199,0.0,0.0,2.786,5.074,5.128,0.939,2.208,4.121,0.0,0.0,monthly
ORx_62521,1989-07-01,12.227,59,0,0.0,0,0,1.423,4.576,4.848,0.752,0.782,3.794,0.0,0.0,1.397,4.491,4.758,0.738,0.768,3.724,0.0,0.0,monthly
ORx_62521,1989-08-01,12.227,59,0,0.0,0,0,2.626,3.166,4.383,1.156,1.163,2.003,0.0,0.0,2.578,3.108,4.302,1.135,1.142,1.966,0.0,0.0,monthly
ORx_62521,1989-09-01,12.227,59,0,0.0,0,0,1.02,1.116,3.916,0.933,0.951,0.166,0.0,0.0,1.001,1.096,3.844,0.916,0.933,0.163,0.0,0.0,monthly
ORx_62521,1989-10-01,12.227,59,0,0.0,0,0,0.346,1.143,1.498,1.963,0.346,-0.815,0.0,0.0,0.339,1.122,1.471,1.926,0.339,-0.8,0.0,0.0,monthly
ORx_62521,1989-11-01,12.227,59,1,0.0,0,0,0.192,0.555,0.572,3.471,0.192,-0.683,0.0,0.0,0.188,0.545,0.562,3.406,0.188,-0.67,0.0,0.0,monthly
ORx_62521,1989-12-01,12.227,59,1,0.0,0,0,0.116,0.186,0.264,3.517,0.116,-0.011,0.0,0.0,0.113,0.183,0.259,3.452,0.113,-0.011,0.0,0.0,monthly
ORx_62521,1990-01-01,12.227,59,1,0.0,0,0,0.327,0.312,0.604,9.652,0.327,-0.802,0.0,0.0,0.321,0.306,0.593,9.472,0.321,-0.787,0.0,0.0,monthly
ORx_62521,1990-02-01,12.227,59,1,0.0,0,0,0.643,0.957,0.997,4.678,0.643,1.144,0.0,0.0,0.631,0.939,0.978,4.591,0.631,1.123,0.0,0.0,monthly
ORx_62521,1990-03-01,12.227,59,1,0.0,0,0,1.651,2.014,2.206,2.776,1.651,0.722,0.0,0.0,1.62,1.977,2.165,2.724,1.62,0.709,0.0,0.0,monthly
ORx_62521,1990-04-01,12.227,59,1,0.0,0,0,3.136,2.695,2.879,2.323,3.136,0.289,0.0,0.0,3.078,2.645,2.825,2.28,3.078,0.284,0.0,0.0,monthly
ORx_62521,1990-05-01,12.227,59,1,0.0,0,0,4.037,3.82,3.888,2.078,4.037,1.734,0.0,0.0,3.962,3.749,3.816,2.04,3.962,1.702,0.0,0.0,monthly
ORx_62521,1990-06-01,12.227,59,1,0.0,0,0,1.768,4.245,4.693,1.98,1.768,2.191,0.0,0.0,1.736,4.166,4.605,1.943,1.736,2.151,0.0,0.0,monthly
ORx_62521,1990-07-01,12.227,59,1,0.0,0,0,4.079,1.922,6.363,0.493,4.039,1.425,0.04,0.0,4.003,1.886,6.245,0.484,3.964,1.398,0.039,0.0,monthly
ORx_62521,1990-08-01,12.227,59,1,0.0,0,0,2.851,1.56,4.741,1.098,1.095,0.465,1.756,0.0,2.798,1.531,4.653,1.077,1.075,0.457,1.723,0.0,monthly
ORx_62521,1990-09-01,12.227,59,1,0.0,0,0,1.368,2.403,3.434,0.503,0.501,1.902,0.867,0.0,1.343,2.359,3.371,0.494,0.492,1.867,0.851,0.0,monthly
ORx_62521,1990-10-01,12.227,59,1,0.0,0,0,1.043,1.213,1.291,4.847,1.043,-2.439,0.0,0.0,1.023,1.191,1.267,4.757,1.023,-2.393,0.0,0.0,monthly
ORx_62521,1990-11-01,12.227,59,1,0.0,0,0,0.195,0.583,0.605,4.317,0.195,-0.0,0.0,0.0,0.191,0.572,0.593,4.236,0.191,-0.0,0.0,0.0,monthly
ORx_62521,1990-12-01,12.227,59,1,0.0,0,0,0.265,0.32,0.58,3.129,0.265,0.802,0.0,0.0,0.26,0.314,0.569,3.071,0.26,0.787,0.0,0.0,monthly
ORx_62521,1991-01-01,12.227,59,1,0.0,0,0,0.372,0.249,0.629,3.09,0.372,0.0,0.0,0.0,0.365,0.245,0.618,3.032,0.365,0.0,0.0,0.0,monthly
ORx_62521,1991-02-01,12.227,59,1,0.0,0,0,0.801,0.992,1.104,4.296,0.801,0.413,0.0,0.0,0.786,0.973,1.084,4.217,0.786,0.406,0.0,0.0,monthly
ORx_62521,1991-03-01,12.227,59,1,0.0,0,0,2.08,1.703,1.78,4.331,2.08,-0.094,0.0,0.0,2.041,1.671,1.747,4.251,2.041,-0.093,0.0,0.0,monthly
ORx_62521,1991-04-01,12.227,59,1,0.0,0,0,1.822,2.819,2.831,4.884,1.822,0.451,0.0,0.0,1.788,2.767,2.779,4.794,1.788,0.443,0.0,0.0,monthly
ORx_62521,1991-05-01,12.227,59,1,0.0,0,0,3.067,3.438,3.49,3.004,3.067,0.378,0.0,0.0,3.01,3.374,3.425,2.948,3.01,0.371,0.0,0.0,monthly
ORx_62521,1991-06-01,12.227,59,1,0.0,0,0,3.738,3.969,4.164,2.105,3.738,1.803,0.0,0.0,3.668,3.895,4.086,2.066,3.668,1.769,0.0,0.0,monthly
ORx_62521,1991-07-01,12.227,59,1,0.0,0,0,3.048,3.037,6.006,0.205,3.048,2.836,0.0,0.0,2.992,2.98,5.895,0.201,2.992,2.783,0.0,0.0,monthly
ORx_62521,1991-08-01,12.227,59,1,0.0,0,0,2.215,1.3,4.758,0.852,2.215,0.445,0.0,0.0,2.174,1.276,4.67,0.836,2.174,0.437,0.0,0.0,monthly
ORx_62521,1991-09-01,12.227,59,1,0.0,0,0,0.986,2.135,4.137,0.178,0.722,1.97,0.264,0.0,0.968,2.095,4.06,0.175,0.709,1.934,0.259,0.0,monthly
ORx_62521,1991-10-01,12.227,59,1,0.0,0,0,0.549,1.33,2.116,2.095,0.549,-0.788,0.0,0.0,0.539,1.306,2.076,2.056,0.539,-0.773,0.0,0.0,monthly
